DATE,GOLDAMGBD228NLBM
2013-11-19,1272.250
2013-11-20,1271.500
2013-11-21,1248.500
2013-11-22,1241.750
2013-11-25,1231.750
2013-11-26,1250.750
2013-11-27,1250.750
2013-11-28,1241.750
2013-11-29,1245.250
2013-12-02,1237.500
2013-12-03,1219.000
2013-12-04,1213.000
2013-12-05,1234.000
2013-12-06,1230.750
2013-12-09,1228.500
2013-12-10,1245.750
2013-12-11,1255.250
2013-12-12,1243.500
2013-12-13,1222.750
2013-12-16,1229.500
2013-12-17,1237.250
2013-12-18,1233.250
2013-12-19,1205.250
2013-12-20,1195.000
2013-12-23,1192.750
2013-12-24,1196.500
2013-12-25,.
2013-12-26,.
2013-12-27,1209.250
2013-12-30,1201.500
2013-12-31,1201.500
2014-01-01,.
2014-01-02,1219.750
2014-01-03,1232.250
2014-01-06,1238.000
2014-01-07,1237.500
2014-01-08,1226.500
2014-01-09,1226.000
2014-01-10,1232.250
2014-01-13,1246.000
2014-01-14,1248.750
2014-01-15,1238.000
2014-01-16,1237.250
2014-01-17,1241.000
2014-01-20,1254.750
2014-01-21,1247.750
2014-01-22,1239.500
2014-01-23,1244.250
2014-01-24,1259.250
2014-01-27,1270.000
2014-01-28,1253.500
2014-01-29,1254.750
2014-01-30,1254.000
2014-01-31,1246.500
2014-02-03,1246.500
2014-02-04,1253.000
2014-02-05,1257.000
2014-02-06,1258.500
2014-02-07,1260.000
2014-02-10,1273.500
2014-02-11,1282.750
2014-02-12,1286.500
2014-02-13,1290.250
2014-02-14,1308.500
2014-02-17,1326.000
2014-02-18,1314.000
2014-02-19,1318.750
2014-02-20,1313.750
2014-02-21,1320.750
2014-02-24,1333.000
2014-02-25,1332.750
2014-02-26,1340.000
2014-02-27,1331.000
2014-02-28,1327.750
2014-03-03,1344.250
2014-03-04,1339.500
2014-03-05,1333.500
2014-03-06,1334.250
2014-03-07,1348.250
2014-03-10,1334.250
2014-03-11,1348.000
2014-03-12,1355.750
2014-03-13,1371.000
2014-03-14,1370.000
2014-03-17,1379.000
2014-03-18,1362.500
2014-03-19,1346.000
2014-03-20,1327.000
2014-03-21,1338.500
2014-03-24,1322.000
2014-03-25,1314.750
2014-03-26,1314.500
2014-03-27,1295.000
2014-03-28,1295.750
2014-03-31,1294.000
2014-04-01,1286.50
2014-04-02,1284.000
2014-04-03,1287.250
2014-04-04,1293.500
2014-04-07,1299.000
2014-04-08,1314.750
2014-04-09,1309.750
2014-04-10,1321.500
2014-04-11,1317.250
2014-04-14,1324.500
2014-04-15,1311.500
2014-04-16,1299.000
2014-04-17,1299.250
2014-04-18,.
2014-04-21,.
2014-04-22,1290.750
2014-04-23,1283.500
2014-04-24,1283.500
2014-04-25,1294.250
2014-04-28,1302.000
2014-04-29,1289.750
2014-04-30,1292.000
2014-05-01,1283.000
2014-05-02,1285.000
2014-05-05,.
2014-05-06,1308.500
2014-05-07,1311.000
2014-05-08,1291.250
2014-05-09,1289.000
2014-05-12,1292.750
2014-05-13,1292.750
2014-05-14,1300.250
2014-05-15,1303.750
2014-05-16,1293.750
2014-05-19,1301.000
2014-05-20,1291.500
2014-05-21,1292.000
2014-05-22,1294.500
2014-05-23,1292.000
2014-05-26,.
2014-05-27,1283.000
2014-05-28,1265.250
2014-05-29,1254.000
2014-05-30,1254.000
2014-06-02,1244.750
2014-06-03,1244.250
2014-06-04,1246.000
2014-06-05,1244.750
2014-06-06,1254.000
2014-06-09,1255.000
2014-06-10,1253.500
2014-06-11,1262.500
2014-06-12,1261.750
2014-06-13,1273.000
2014-06-16,1281.750
2014-06-17,1264.500
2014-06-18,1269.000
2014-06-19,1282.000
2014-06-20,1310.000
2014-06-23,1313.500
2014-06-24,1323.000
2014-06-25,1312.000
2014-06-26,1311.500
2014-06-27,1315.250
2014-06-30,1313.000
2014-07-01,1325.750
2014-07-02,1326.750
2014-07-03,1322.500
2014-07-04,1321.500
2014-07-07,1313.250
2014-07-08,1318.250
2014-07-09,1322.500
2014-07-10,1343.250
2014-07-11,1336.500
2014-07-14,1321.250
2014-07-15,1312.000
2014-07-16,1297.500
2014-07-17,1302.750
2014-07-18,1310.250
2014-07-21,1312.750
2014-07-22,1307.000
2014-07-23,1307.500
2014-07-24,1300.000
2014-07-25,1292.500
2014-07-28,1305.000
2014-07-29,1307.500
2014-07-30,1297.500
2014-07-31,1295.00
2014-08-01,1284.500
2014-08-04,1293.500
2014-08-05,1292.750
2014-08-06,1288.500
2014-08-07,1302.000
2014-08-08,1317.500
2014-08-11,1308.250
2014-08-12,1311.000
2014-08-13,1309.250
2014-08-14,1315.000
2014-08-15,1313.600
2014-08-18,1302.750
2014-08-19,1300.250
2014-08-20,1294.500
2014-08-21,1280.500
2014-08-22,1281.000
2014-08-25,.
2014-08-26,1286.500
2014-08-27,1285.000
2014-08-28,1288.000
2014-08-29,1285.750
2014-09-01,1287.250
2014-09-02,1277.750
2014-09-03,1268.500
2014-09-04,1271.000
2014-09-05,1264.000
2014-09-08,1267.250
2014-09-09,1256.000
2014-09-10,1254.250
2014-09-11,1247.000
2014-09-12,1237.250
2014-09-15,1234.750
2014-09-16,1238.750
2014-09-17,1236.500
2014-09-18,1223.000
2014-09-19,1222.500
2014-09-22,1214.000
2014-09-23,1225.000
2014-09-24,1224.000
2014-09-25,1210.500
2014-09-26,1222.250
2014-09-29,1217.750
2014-09-30,1210.000
2014-10-01,1208.500
2014-10-02,1214.500
2014-10-03,1207.500
2014-10-06,1193.250
2014-10-07,1207.500
